id,name,aliases,category,serving_g,kcal_per_100g,kcal_per_serving,source,source_url,confidence,locale
vn-dish-001,Phở bò tái,pho bo tai,Phở & mì nước,500,82.0,410,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-002,Phở bò chín,pho bo chin,Phở & mì nước,500,88.0,440,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-003,Phở bò tái nạm,pho bo tai nam,Phở & mì nước,550,94.55,520,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-004,Phở bò tái gầu,pho bo tai gau,Phở & mì nước,550,100.0,550,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-005,Phở bò viên,pho bo vien,Phở & mì nước,500,90.0,450,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-006,Phở gà,pho ga,Phở & mì nước,500,80.0,400,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-007,Phở gà đùi,pho ga dui,Phở & mì nước,550,94.55,520,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-008,Phở xào bò,pho xao bo,Phở & mì nước,450,164.44,740,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-009,Phở áp chảo,pho ap chao,Phở & mì nước,450,180.0,810,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-010,Hủ tiếu Nam Vang,hu tieu nam vang,Phở & mì nước,500,88.0,440,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-011,Hủ tiếu bò kho,hu tieu bo kho,Phở & mì nước,500,104.0,520,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-012,Hủ tiếu xương,hu tieu xuong,Phở & mì nước,500,84.0,420,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-013,Hủ tiếu gõ,hu tieu go,Phở & mì nước,450,88.89,400,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-014,Hủ tiếu khô,hu tieu kho,Phở & mì nước,450,151.11,680,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-015,Mì hoành thánh,mi hoanh thanh,Phở & mì nước,500,100.0,500,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-016,Mì bò viên,mi bo vien,Phở & mì nước,500,94.0,470,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-017,Mì gà,mi ga,Phở & mì nước,500,88.0,440,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-018,Mì Quảng gà,mi quang ga,Phở & mì nước,450,135.56,610,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-019,Mì Quảng tôm thịt,mi quang tom thit,Phở & mì nước,450,151.11,680,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-020,Bún bò Huế,bun bo hue,Phở & mì nước,550,92.73,510,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-021,Bún bò tái + 1 cục huyết,bun bo tai huyet;bun bo tai 1 cuc huyet,Phở & mì nước,550,94.55,520,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-022,Bún bò giò heo,bun bo gio heo,Phở & mì nước,600,110.0,660,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-023,Bún bò chả cua,bun bo cha cua,Phở & mì nước,550,105.45,580,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-024,Bún riêu cua,bun rieu cua,Phở & mì nước,550,78.18,430,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-025,Bún riêu giò,bun rieu gio,Phở & mì nước,600,91.67,550,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-026,Bún riêu chả,bun rieu cha,Phở & mì nước,600,95.0,570,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-027,Bún mắm,bun mam,Phở & mì nước,550,105.45,580,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-028,Bún cá,bun ca,Phở & mì nước,550,90.91,500,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-029,Bún cá rô,bun ca ro,Phở & mì nước,550,87.27,480,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-030,Bún mọc,bun moc,Phở & mì nước,550,87.27,480,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-031,Bún thịt nướng,bun thit nuong,Phở & mì nước,450,155.56,700,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-032,Bún chả Hà Nội,bun cha;bun cha ha noi,Phở & mì nước,500,160.0,800,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-033,Bún nem nướng,bun nem nuong,Phở & mì nước,450,168.89,760,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-034,Bún thịt xào,bun thit xao,Phở & mì nước,450,155.56,700,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-035,Bún xào chay,bun xao chay,Phở & mì nước,450,124.44,560,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-036,Bún đậu mắm tôm,bun dau mam tom,Phở & mì nước,500,210.0,1050,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-037,Bún đậu chả cốm,bun dau cha com,Phở & mì nước,550,220.0,1210,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-038,Bún đậu thịt luộc,bun dau thit luoc,Phở & mì nước,550,185.45,1020,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-039,Bún cá viên chiên,bun ca vien chien,Phở & mì nước,500,130.0,650,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-040,Cơm trắng 1 chén,com trang;com trang 1 chen,Cơm,150,133.33,200,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-041,Cơm trắng 2 chén,com trang 2 chen,Cơm,300,130.0,390,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-042,Cơm chiên trứng,com chien trung,Cơm,350,188.57,660,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-043,Cơm chiên dương châu,com chien duong chau,Cơm,400,205.0,820,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-044,Cơm chiên hải sản,com chien hai san,Cơm,400,195.0,780,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-045,Cơm chiên tôm,com chien tom,Cơm,400,190.0,760,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-046,Cơm chiên tôm phủ trứng,com chien tom phu trung,Cơm,450,184.44,830,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-047,Cơm chiên cá mặn,com chien ca man,Cơm,400,210.0,840,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-048,Cơm chiên bò,com chien bo,Cơm,400,205.0,820,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-049,Cơm chiên gà,com chien ga,Cơm,400,195.0,780,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-050,Cơm rang dưa bò,com rang dua bo,Cơm,400,185.0,740,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-051,Cơm sườn nướng,com suon nuong,Cơm,450,191.11,860,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-052,Cơm tấm sườn bì chả,com tam suon bi cha,Cơm,500,216.0,1080,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-053,Cơm tấm sườn,com tam suon,Cơm,450,204.44,920,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-054,Cơm tấm bì,com tam bi,Cơm,400,170.0,680,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-055,Cơm tấm chả,com tam cha,Cơm,400,180.0,720,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-056,Cơm gà chiên nước mắm,com ga chien nuoc mam,Cơm,450,215.56,970,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-057,Cơm gà xối mỡ,com ga xoi mo,Cơm,500,230.0,1150,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-058,Cơm gà luộc,com ga luoc,Cơm,450,155.56,700,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-059,Cơm gà Hải Nam,com ga hai nam,Cơm,450,175.56,790,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-060,Cơm bò lúc lắc,com bo luc lac,Cơm,450,195.56,880,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-061,Cơm bò xào hành tây,com bo xao;com bo xao hanh tay,Cơm,450,175.56,790,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-062,Cơm thịt kho trứng,com thit kho trung,Cơm,500,180.0,900,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-063,Cơm thịt nướng,com thit nuong,Cơm,450,184.44,830,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-064,Cơm cá kho,com ca kho,Cơm,450,164.44,740,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-065,Cơm cá chiên,com ca chien,Cơm,450,191.11,860,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-066,Cơm cá kho tộ,com ca kho to,Cơm,500,170.0,850,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-067,Cơm sườn ram,com suon ram,Cơm,450,204.44,920,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-068,Cơm heo quay,com heo quay,Cơm,450,208.89,940,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-069,Cơm vịt quay,com vit quay,Cơm,450,215.56,970,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-070,Cơm cà ri gà,com ca ri ga,Cơm,500,170.0,850,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-071,Cơm cà ri bò,com ca ri bo,Cơm,500,180.0,900,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-072,Cơm bò kho,com bo kho,Cơm,500,156.0,780,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-073,Cơm xá xíu,com xa xiu,Cơm,450,184.44,830,IVS Vietnam calorie dataset,,estimated,vi-VN
vn-dish-074,Cơm chay,com chay,Cơm,400,125.0,500,IVS Vietnam calorie dataset,,estimated,vi-VN
